head,relation,tail
András Gáspár,basic information,András Gáspár 12/10/2016
basic information,done in,András Gáspár 12/10/2016
András Gáspár,as,András Gáspár 12/10/2016
basic information,with,András Gáspár 12/10/2016
András Gáspár,Contact,Contact
András Gáspár,Contact,Information
András Gáspár,Contact,Steward Observatory
András Gáspár,Contact,The University of Arizona
András Gáspár,Contact,"933 N Cherry Avenue, Rm 278"
András Gáspár,Contact,"Tucson, AZ 85721-0065"
András Gáspár,Contact,Tel: (520)-360-0983
András Gáspár,Contact,agaspar@as.arizona.edu
András Gáspár,Contact,http://merope.as.arizona.edu/˜agaspar
András Gáspár,Contact,U.S. permanent resident
András Gáspár,Research,Research
András Gáspár,Research,Areas
András Gáspár,Research,"Circumstellar Disks, Exozodi, Extrasolar Planets, Variable Stars, Open Clus-"
András Gáspár,Research,"ters, ISM, Coronagraphy, Infrared Detectors, HPC/GPU programming"
András Gáspár,Research,"2014 - current Senior Research Associate, Steward Obs., The UofA"
Research,done in,2014
András Gáspár,as,2014 - current Senior Research Associate
Research,with,2014 - current Senior Research Associate
Research,with, Steward Obs.
Research,with, The UofA
András Gáspár,Research,"2011 - 2014 Postdoctoral Researcher, Steward Obs., The UofA"
Research,done in,2011 - 2014
András Gáspár,as,2011 - 2014 Postdoctoral Researcher
Research,with,2011 - 2014 Postdoctoral Researcher
Research,with, Steward Obs.
Research,with, The UofA
András Gáspár,Research,"2006 - 2011 Research Assistant, Steward Obs., The UofA"
Research,done in,2006 - 2011
András Gáspár,as,2006 - 2011 Research Assistant
Research,with,2006 - 2011 Research Assistant
Research,with, Steward Obs.
Research,with, The UofA
András Gáspár,Research,"2005 Research Assistant, UKIDSS/UKIRT, University of Leeds"
Research,done in,2005
András Gáspár,as,2005 Research Assistant
Research,with,2005 Research Assistant
Research,with, UKIDSS/UKIRT
Research,with, University of Leeds
András Gáspár,Education,"Education 2011 Ph.D., Astronomy, Steward Observatory, The University of Arizona"
Education,done in,Education 2011
András Gáspár,as,Education 2011 Ph.D.
